conflict_id,date,symbol,company,action_1,action_2,effective_date_1,effective_date_2,source_url_1,source_url_2,source_sha256_1,source_sha256_2,observation_ids,severity,difference,root_cause,correction_applied,resolution_status,notes
2b350cf856b01bc53fd09940c37d2cfd6b5a73f5fb61bc23f7ab734fb1831040,2016-09-30,PIIND,PI Industries Ltd.,ADD,,2016-09-30,,https://www.niftyindices.com/Press_Release/ind_prs12082016.pdf,,5a62ae30702b448323496a7099a40cef446941cabd1b1677af63d6ff2aef6742,,7598da13151bae6331be27ced7170d3c42d8a4b9d848d0a7846703a87c991ff7,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
5065a10b82f916088d01c0ccaac03b86d6af0954dc9cf4ada2cce00534c5c10c,2017-09-29,MFSL,Max Financial Services Ltd.,ADD,,2017-09-29,,https://www.niftyindices.com/Press_Release/ind_prs28082017.pdf,,25aa0b2027aaced424c4ca73e6bf86fd3dea3efa74db2aecf8ada6a3196fb5a8,,292da2981bf605c62ef8e4606dd202661bed5f5a31af8ac9e8019a935401c208,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
417b1d0d0dd8b6025cf54df7c864a09d961b5f3e0690273b6fe4f8f2e8597112,2020-03-27,ADANITRANS,Adani Transmission Ltd.,ADD,,2020-03-27,,https://www.niftyindices.com/Press_Release/ind_prs18022020.pdf,,1943215214a0b967333ae4ec9c6aeaec9c5012fb03558c769ad895b7d1081f9e,,b24161c071905318248e1a439475c24c9ea44684c410a0cc56ca9a71d9245ea9,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
45f59ddfd616a875b7cbfa96170f1733d8f11782461b59dcac9f1abf6fb2383f,2020-06-26,ADANIGAS,Adani Gas Ltd.,ADD,,2020-06-26,,https://www.niftyindices.com/Press_Release/ind_prs10062020.pdf,,ea83ae30ff9e8d80892e143ebd8f16fedd04c974e77d673539bb663a9f9de49e,,bf8e101c1e43d45c799a334d61ce1da8236687761c081f61c4f5670a6cece3e6,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
730b4141c9104bfbb2b7b3c76d23bc43efabaaa31f1df822aa592761196c27a4,2020-06-26,POLYCAB,Polycab India Ltd.,ADD,,2020-06-26,,https://www.niftyindices.com/Press_Release/ind_prs10062020.pdf,,ea83ae30ff9e8d80892e143ebd8f16fedd04c974e77d673539bb663a9f9de49e,,bd6a9869f0db4c148c773e84c7a6d87082512da77c079ca814af24b468fc6559,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
4be8207f14dc4a44174e46624e5cdae3ac7b0148f342768de07e6b9a60b6f8be,2020-06-26,NIITTECH,NIIT Technologies Ltd.,ADD,,2020-06-26,,https://www.niftyindices.com/Press_Release/ind_prs10062020.pdf,,ea83ae30ff9e8d80892e143ebd8f16fedd04c974e77d673539bb663a9f9de49e,,4a9b868bbaa8e2d2c36abcb4d222883ba230eca47abf86d307a67e827d1bd6c3,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
392d8d709bd8102fa1f76f915aad1e693ca658de1ab99c7a8bd2ed4cbf89386d,2020-06-26,IRCTC,Corporation Ltd.,ADD,,2020-06-26,,https://www.niftyindices.com/Press_Release/ind_prs10062020.pdf,,ea83ae30ff9e8d80892e143ebd8f16fedd04c974e77d673539bb663a9f9de49e,,1bfe04abecdb1527f4e7f445107f26f1c2773977c96316d9935df9fe79ef7a33,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
50dfd5abd285373ae6a80df162b17ce5df6d93c953276fcf9ccf412479522480,2022-03-31,ABBOTINDIA,Abbott India Ltd.,ADD,,2022-03-31,,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,,3091cf1c10b57bbae3b81645f5d91916a1af2bb7284902060f4640f7fb9fcd56,,9cb0f7d155ad22fdc46c027144e6a0f1aca6fab84bb5d2ac66415714bcc0d67e,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
70e950a578b3c72e572564f320161c09edb1a7d37c592c7b2a03ca3015be7b64,2023-03-31,ADANIPOWER,Adani Power Ltd.,ADD,,2023-03-31,,https://www.niftyindices.com/Press_Release/ind_prs17022023_1.pdf,,fc55cd8916629df82b94a31e03c050b096bcbf98bcd1fb6e700c3223e93b8cbe,,7a38974c526b57546e72292c88564592073479c89db7a294e20276251b8a590e,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
81f8827412a7eab90421a9ece4a076d75f631e81e3c0f4235034a720cbc519c8,2024-03-28,OFSS,Oracle Financial Services Software Ltd.,ADD,,2024-03-28,,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,,5c70d043edde682a31fc5fa043a3b829a380fc9896de904bcb76d64b8319f698,,9082af191dad55b1a5094f2776c1b0925c57d783094457fa4df86374c4edcca7,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
c50bb8409e65c87490f123dedb2ebcc06e6a38aff9f41265c7c067982146033e,2025-09-30,FORTIS,Fortis Healthcare Ltd.,ADD,,2025-09-30,,https://www.niftyindices.com/Press_Release/ind_prs22082025.pdf,,731113af85aad6b54cce359d5465d84e6062b28b03c21cd9922a20a3f44d2de1,,0a2cc711da55da1cf2418900530fd942d9926b4efb10d25156c26c40e96cb28f,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
